Country,Number
Andorra,1
United Arab Emirates,144
Argentina,108
Austria,18
Australia,22
Aruba,3
Azerbaijan,4
Belgium,19
Bulgaria,5
Bahrain,21
Brunei Darussalam,5
Brazil,4
Bahamas,102
Canada,10
Switzerland,1468
Chile,61
China,96
Colombia,2734
Costa Rica,11
Cura̤ao,11
Cyprus,3
Czech Republic,10
Germany,28
Denmark,160
Egypt,21
Spain,31
Finland,101
France,8
United Kingdom,132
Greece,901
Guatemala,28
Hungary,7
Indonesia,16
Ireland,268
India,73
Jordan,88
Japan,17
Cambodia,1237
Kuwait,4
Kazakhstan,993
Lebanon,106
Luxembourg,8
Morocco,29
Monaco,2
Mexico,9
Malaysia,2
Netherlands,579
Norway,234
New Zealand,59
Oman,17
Panama,24
Peru,12
Philippines,5
Poland,89
Puerto Rico,298
Portugal,53
Qatar,24
Romania,11
Russian Federation,18
Saudi Arabia,27
Sweden,109
Singapore,102
Slovakia,18
El Salvador,130
Thailand,3
Turkey,11
Trinidad and Tobago,289
United States,326
Viet Nam,3
South Africa,394
